
municipio,calle,numero,lat,lon
Alcañices,Plaza Mayor,1,41.6989,-6.3464
Almeida de Sayago,Plaza España,1,41.2447,-6.1197
Aspariegos,Pza Mayor,1,41.8347,-5.6056
Asturianos,Calle Mayor,84,42.0406,-6.4931
Benavente,Avda. del ferial,22,42.003,-5.6782
Bermillo de Sayago,Plaza Mayor,1,41.3708,-6.1136
Burganes de Valverde,Plaza Centro de Día,,41.9917,-5.9278
Camarzana de Tera,C/ Carretera,27,42.0731,-6.0161
Carbajales de Alba,Calle Hospital,4,41.7281,-6.1836
Cobreros,Plaza Ayuntamiento,,42.0403,-6.5653
Coreses,C/ Arena,,41.5833,-5.6167
Corrales del Vino,Pza. Ramón y Cajal,s/n,41.3125,-5.7897
El Perdigón,Plaza España,1,41.4292,-5.7556
Fariza,C/ Fermoselle,7,41.3333,-6.2667
Fermoselle,Plaza Mayor,1,41.3167,-6.4
Ferreras de Abajo,Plaza Evaristo García López,1,42.0131,-6.1831
Fonfría,Plaza Mayor,1,41.6667,-6.25
Fresno de la Ribera,Ctra. Tordesilla,36,41.5667,-5.6167
Fuentelapeña,Plaza de la Constitución,1,41.2461,-5.4861
Fuentesaúco,Plaza Mayor,1,41.2572,-5.4922
La Bóveda del Toro,Plaza Ayuntamiento,,41.3667,-5.6167
Lubián,C/ Souto da Feria,7,42.0397,-6.9
Manganeses de la Polvorosa,Plaza de la Iglesia,3,42.0333,-5.8833
Montamarta,Plaza Mayor,1,41.6667,-5.8667
Moraleja del Vino,Plaza Mayor,1,41.4667,-5.6667
Morales del Toro,Plaza Mayor,1,41.5333,-5.4667
Morales del Vino,Cortinal,13,41.4667,-5.6667
Moralina,Plaza Mayor,1,41.3167,-6.2333
Muelas del Pan,Plaza Ayuntamiento,s/n,41.5833,-6.1333
Palacios del Pan,Pza. Mayor,s/n,41.5833,-5.8667
Peñausende,C/El Piñeiro,1,41.25,-5.9333
Pereruela,Pza. Mayor,5,41.4167,-5.8667
Puebla de Sanabria,C/ Camino del Pinar,s/n,42.0556,-6.6333
Rábanales,Plaza Iglesia,1,41.7833,-6.25
Riofrío de Aliste,C/ Fonda,96,41.7833,-6.3167
Rionegro del Puente,Plaza Diego de Losada,19,42.0481,-6.2431
Roales,Plaza del Ayuntamiento,s/n,41.5333,-5.7333
San Cebrián de Castro,Calle Medio,2,41.7167,-5.8667
San Cristobal de Entreviñas,Plaza Mayor,s/n,42.0167,-5.6667
San Vitero,Plaza Mayor,2,41.8167,-6.3167
Santa Cristina de la Polvorosa,Plaza Mayor,s/n,42.0167,-5.6833
Santibañez de Vidriales,C/ Mayor,27,42.0833,-6.1
Santovenia,Plaza España,s/n,41.6167,-5.6167
Tábara,Plaza Mayor,2,41.8236,-5.9597
Toro,Calle Concepción,3,41.5241,-5.3956
Venialbo,Plaza Mayor,1,41.4167,-5.5333
Vezdemarban,Plaza Mayor,s/n,41.7167,-5.6167
Villabuena del Puente,Plaza Castilla y León,1,41.8667,-5.7833
Villafáfila,Pza. Sanjurjo,6,41.8425,-5.6217
Villalazán,C/ Toro,2,41.4667,-5.6167
Villalpando,Plaza Mayor,s/n,41.8667,-5.4167
Villamor de los Escuderos,Plaza Mayor,1,41.25,-5.6167
Villanueva del Campo,Plaza España,s/n,41.8833,-5.6167
Villar del Buey,Plaza Mayor,6,41.3333,-6.1833
Villaralbo,Pl. Amílcar Ferrón,1,41.5167,-5.6667
Villardeciervos,Antigua sala de votaciones,,42.0667,-6.35
Zamora,Plaza Viriato,s/n,41.5031,-5.746
Zamora,C/ Condes de Alba y Aliste,2-4,41.5031,-5.746
Zamora,C/ Pinar,7,41.5031,-5.746
