alpha,FID 1,FID 2,FID 3,FID 4,FID 5,FID 6,FID 7,FID 8,FID 9,FID 10
0,0.003510,0.003647,0.003739,0.003695,0.003855,0.003920,0.003736,0.003482,0.003635,0.003995
0.1,0.002266,0.002240,0.002054,0.002312,0.002268,0.002208,0.001868,0.002712,0.001870,0.002320
0.2,0.002141,0.001314,0.001396,0.001822,0.001178,0.001361,0.001047,0.001903,0.001077,0.001106
0.3,0.002964,0.003570,0.002892,0.002935,0.002629,0.002967,0.003301,0.002682,0.002440,0.002480
0.4,0.009363,0.008279,0.009970,0.008892,0.009004,0.008719,0.008251,0.008088,0.008872,0.008561
0.5,0.022664,0.023060,0.023358,0.021962,0.021472,0.022173,0.021220,0.020691,0.022737,0.021284
0.6,0.050072,0.049263,0.053230,0.049336,0.049073,0.051446,0.053472,0.048538,0.051289,0.048514
0.7,0.104094,0.104741,0.106124,0.106128,0.100802,0.104509,0.106374,0.099192,0.101824,0.104725
0.8,0.219821,0.212901,0.209335,0.209109,0.207939,0.215933,0.213756,0.210753,0.207615,0.212417
0.9,0.456281,0.451896,0.460415,0.461899,0.448806,0.462253,0.462921,0.466817,0.467942,0.460938
1,1.232620,1.244594,1.227170,1.253023,1.242382,1.229103,1.250590,1.197621,1.218545,1.234664
