alpha,FID 1,FID 2,FID 3,FID 4,FID 5,FID 6,FID 7,FID 8,FID 9,FID 10
0,0.000200,0.000466,0.000195,0.000435,0.000188,0.000104,0.000217,0.000317,0.000273,0.000307
0.1,0.000062,0.000120,0.000080,0.000138,0.000092,0.000110,0.000086,0.000078,0.000112,0.000108
0.2,0.000013,0.000014,0.000007,0.000036,0.000009,0.000002,0.000013,0.000012,0.000011,0.000014
0.3,0.000220,0.000080,0.000132,0.000178,0.000167,0.000183,0.000210,0.000188,0.000053,0.000216
0.4,0.000959,0.000831,0.001059,0.000793,0.000853,0.000974,0.001196,0.000903,0.000932,0.000905
0.5,0.003300,0.002303,0.003258,0.002577,0.003382,0.002845,0.003425,0.002303,0.002807,0.002708
0.6,0.007215,0.006451,0.006594,0.006585,0.007248,0.006980,0.006719,0.006612,0.006391,0.006967
0.7,0.013143,0.012138,0.013299,0.012040,0.013481,0.012136,0.013517,0.012862,0.012732,0.013731
0.8,0.017395,0.015912,0.017479,0.016876,0.017127,0.018981,0.017555,0.016687,0.017695,0.017240
0.9,0.016576,0.015727,0.015903,0.016690,0.016572,0.015668,0.016370,0.016300,0.016197,0.016551
1,0.146868,0.153248,0.150613,0.150378,0.151777,0.149950,0.146679,0.150659,0.154762,0.150523
