record,fs_used,signal_std,max_abs_autocorr,n_peaks,prominence,distance_samples,reason
p10000\p10000_s00,250,1.0,5000.0,9,0.1,75,ok
p10000\p10000_s01,250,0.9999999999999998,5000.000000000001,16,0.1,75,ok
p10000\p10000_s02,250,1.0,5000.0,17,0.1,75,ok
p10000\p10000_s03,250,1.0,5000.0,12,0.1,75,ok
p10000\p10000_s04,250,0.9999999999999999,5000.000000000002,15,0.1,75,ok
p10000\p10000_s05,250,1.0,5000.0,17,0.1,75,ok
p10000\p10000_s06,250,0.9999999999999999,5000.000000000002,19,0.1,75,ok
p10000\p10000_s07,250,0.9999999999999998,5000.000000000002,5,0.1,75,ok
p10000\p10000_s08,250,1.0,4999.999999999999,15,0.1,75,ok
p10000\p10000_s09,250,1.0,5000.000000000001,16,0.1,75,ok
p10000\p10000_s10,250,1.0,5000.000000000001,16,0.1,75,ok
p10000\p10000_s11,250,1.0000000000000002,4999.999999999998,22,0.1,75,ok
p10000\p10000_s12,250,0.9999999999999998,5000.000000000001,16,0.1,75,ok
p10000\p10000_s13,250,1.0,5000.0,10,0.1,75,ok
p10000\p10000_s14,250,0.9999999999999998,5000.000000000001,15,0.1,75,ok
p10000\p10000_s15,250,1.0,5000.000000000001,13,0.1,75,ok
p10000\p10000_s16,250,1.0000000000000002,4999.999999999998,22,0.1,75,ok
p10000\p10000_s17,250,1.0,5000.000000000001,12,0.1,75,ok
p10000\p10000_s18,250,1.0,5000.000000000001,23,0.1,75,ok
p10000\p10000_s19,250,1.0,4999.999999999999,21,0.1,75,ok
p10000\p10000_s20,250,0.9999999999999998,5000.000000000003,15,0.1,75,ok
p10000\p10000_s21,250,1.0,5000.0,21,0.1,75,ok
p10000\p10000_s22,250,1.0,5000.000000000002,11,0.1,75,ok
p10000\p10000_s23,250,1.0,4999.999999999999,10,0.1,75,ok
p10000\p10000_s24,250,1.0,5000.0,24,0.1,75,ok
p10000\p10000_s25,250,0.9999999999999999,5000.000000000001,20,0.1,75,ok
p10000\p10000_s26,250,1.0,5000.0,18,0.1,75,ok
p10000\p10000_s27,250,1.0,4999.999999999998,17,0.1,75,ok
p10000\p10000_s28,250,1.0,5000.000000000001,10,0.1,75,ok
p10000\p10000_s29,250,1.0,5000.0,19,0.1,75,ok
p10000\p10000_s30,250,1.0,4999.999999999998,20,0.1,75,ok
p10000\p10000_s31,250,1.0,4999.999999999999,3,0.1,75,ok
p10000\p10000_s32,250,1.0,4999.999999999998,12,0.1,75,ok
p10000\p10000_s33,250,0.9999999999999999,5000.0,9,0.1,75,ok
p10000\p10000_s34,250,1.0,5000.0,19,0.1,75,ok
p10000\p10000_s35,250,1.0,4999.999999999998,18,0.1,75,ok
p10000\p10000_s36,250,0.9999999999999999,4999.999999999998,11,0.1,75,ok
p10000\p10000_s37,250,1.0,5000.000000000001,12,0.1,75,ok
p10000\p10000_s38,250,1.0,5000.000000000001,15,0.1,75,ok
p10000\p10000_s39,250,1.0,5000.000000000002,19,0.1,75,ok
p10000\p10000_s40,250,1.0000000000000002,5000.0,20,0.1,75,ok
p10000\p10000_s41,250,0.9999999999999998,4999.999999999999,17,0.1,75,ok
p10000\p10000_s42,250,0.9999999999999999,5000.000000000002,16,0.1,75,ok
p10000\p10000_s43,250,0.9999999999999999,5000.000000000001,20,0.1,75,ok
p10000\p10000_s44,250,0.9999999999999999,4999.999999999998,21,0.1,75,ok
p10000\p10000_s45,250,1.0,5000.0,1,0.1,75,insufficient_peaks
p10000\p10000_s46,250,0.9999999999999998,5000.000000000002,2,0.1,75,ok
p10000\p10000_s47,250,1.0,5000.0,4,0.1,75,ok
p10000\p10000_s48,250,1.0,4999.999999999998,18,0.1,75,ok
p10000\p10000_s49,250,0.9999999999999999,5000.000000000002,16,0.1,75,ok
p10001\p10001_s00,250,1.0,5000.000000000001,12,0.1,75,ok
p10001\p10001_s01,250,1.0,5000.000000000002,18,0.1,75,ok
p10001\p10001_s02,250,1.0,5000.0,6,0.1,75,ok
p10001\p10001_s03,250,1.0,5000.0,15,0.1,75,ok
p10001\p10001_s04,250,1.0000000000000002,4999.999999999997,14,0.1,75,ok
p10001\p10001_s05,250,0.9999999999999999,5000.000000000001,12,0.1,75,ok
p10001\p10001_s06,250,0.9999999999999999,5000.000000000001,8,0.1,75,ok
p10001\p10001_s07,250,1.0,5000.000000000001,2,0.1,75,ok
p10001\p10001_s08,250,1.0,4999.999999999999,7,0.1,75,ok
p10001\p10001_s09,250,1.0,5000.0,8,0.1,75,ok
p10001\p10001_s10,250,1.0,5000.0,16,0.1,75,ok
p10001\p10001_s11,250,1.0,4999.999999999999,5,0.1,75,ok
p10001\p10001_s12,250,1.0,5000.000000000001,11,0.1,75,ok
p10001\p10001_s13,250,1.0,4999.999999999998,15,0.1,75,ok
p10001\p10001_s14,250,1.0,4999.999999999999,15,0.1,75,ok
p10001\p10001_s15,250,1.0,5000.000000000002,16,0.1,75,ok
p10001\p10001_s16,250,1.0,5000.000000000003,13,0.1,75,ok
p10001\p10001_s17,250,1.0,5000.000000000001,6,0.1,75,ok
p10001\p10001_s18,250,1.0,5000.0,7,0.1,75,ok
p10001\p10001_s19,250,1.0,5000.0,9,0.1,75,ok
p10001\p10001_s20,250,1.0000000000000002,4999.999999999999,15,0.1,75,ok
p10001\p10001_s21,250,1.0,5000.000000000001,6,0.1,75,ok
p10001\p10001_s22,250,1.0,5000.000000000001,29,0.1,75,ok
p10001\p10001_s23,250,1.0,4999.999999999999,12,0.1,75,ok
p10001\p10001_s24,250,1.0,5000.000000000001,11,0.1,75,ok
p10001\p10001_s25,250,0.9999999999999998,5000.0,16,0.1,75,ok
p10001\p10001_s26,250,0.9999999999999999,5000.0,6,0.1,75,ok
p10001\p10001_s27,250,1.0,4999.999999999999,8,0.1,75,ok
p10001\p10001_s28,250,1.0,5000.0,8,0.1,75,ok
p10001\p10001_s29,250,0.9999999999999999,5000.000000000001,7,0.1,75,ok
p10001\p10001_s30,250,1.0000000000000002,5000.0,4,0.1,75,ok
p10001\p10001_s31,250,1.0,5000.000000000001,18,0.1,75,ok
p10001\p10001_s32,250,1.0,5000.000000000001,11,0.1,75,ok
p10001\p10001_s33,250,1.0,5000.0,8,0.1,75,ok
p10001\p10001_s34,250,0.9999999999999998,5000.0,8,0.1,75,ok
p10001\p10001_s35,250,0.9999999999999999,5000.000000000002,14,0.1,75,ok
p10001\p10001_s36,250,1.0,5000.000000000001,3,0.1,75,ok
p10001\p10001_s37,250,1.0,4999.999999999998,11,0.1,75,ok
p10001\p10001_s38,250,1.0,4999.999999999999,13,0.1,75,ok
p10001\p10001_s39,250,1.0,5000.000000000001,17,0.1,75,ok
p10001\p10001_s40,250,1.0,5000.0,11,0.1,75,ok
p10001\p10001_s41,250,1.0,5000.000000000001,2,0.1,75,ok
p10001\p10001_s42,250,1.0000000000000002,4999.999999999999,12,0.1,75,ok
p10001\p10001_s43,250,0.9999999999999999,5000.0,3,0.1,75,ok
