record,n_signals,length_samples,fs,duration_sec,mean_amplitude,std_amplitude,is_nsr
p10000\p10000_s00,1,1048577,250,4194.308,0.0028642574846644,0.0825366013723589,True
p10000\p10000_s01,1,1048577,250,4194.308,0.0028992202520828,0.0914698690318277,True
p10000\p10000_s02,1,1048577,250,4194.308,0.0039023827326273,0.0992914621380436,True
p10000\p10000_s03,1,1048577,250,4194.308,0.0021784493545335,0.0925088045219426,True
p10000\p10000_s04,1,1048577,250,4194.308,0.002942251350444,0.0389118131394511,True
p10000\p10000_s05,1,1048577,250,4194.308,0.0034048356578264,0.0386651132026402,True
p10000\p10000_s06,1,1048577,250,4194.308,0.001194112979522,0.0960166360887157,True
p10000\p10000_s07,1,1048577,250,4194.308,-0.0008014542069765,0.2470236230826145,True
p10000\p10000_s08,1,1048577,250,4194.308,0.0031600962858973,0.03334089904479,True
p10000\p10000_s09,1,1048577,250,4194.308,0.0034908978545487,0.0517293491864211,True
p10000\p10000_s10,1,1048577,250,4194.308,0.0036522644734031,0.0424937063247237,True
p10000\p10000_s11,1,1048577,250,4194.308,0.0028803941465498,0.0803224738604748,True
p10000\p10000_s12,1,1048577,250,4194.308,0.0032784318063905,0.0804323094299053,True
p10000\p10000_s13,1,1048577,250,4194.308,0.0022268593401898,0.0781626736403793,True
p10000\p10000_s14,1,1048577,250,4194.308,-5.1099429303872846e-05,0.0345920000502051,True
p10000\p10000_s15,1,1048577,250,4194.308,0.0034505561998352,0.0303500958251093,True
p10000\p10000_s16,1,1048577,250,4194.308,0.0009816469313638,0.0998041548954996,True
p10000\p10000_s17,1,1048577,250,4194.308,0.0022537537766655,0.090364816534063,True
p10000\p10000_s18,1,1048577,250,4194.308,0.0018207533494064,0.084109385231048,True
p10000\p10000_s19,1,1048577,250,4194.308,0.0023962942899868,0.0679626783399247,True
p10000\p10000_s20,1,1048577,250,4194.308,0.0031843012787255,0.0370361041707115,True
p10000\p10000_s21,1,1048577,250,4194.308,0.0036253700369273,0.0500527714899564,True
p10000\p10000_s22,1,1048577,250,4194.308,0.0037894260994293,0.0638537427143632,True
p10000\p10000_s23,1,1048577,250,4194.308,0.0020332193975646,0.1193161137993496,True
p10000\p10000_s24,1,1048577,250,4194.308,0.0009924047059541,0.1014066073488916,True
p10000\p10000_s25,1,1048577,250,4194.308,0.0037759788811914,0.0646042646716611,True
p10000\p10000_s26,1,1048577,250,4194.308,0.0015302934354686,0.0673565370265976,True
p10000\p10000_s27,1,1048577,250,4194.308,0.0022107226783043,0.0781279591244494,True
p10000\p10000_s28,1,1048577,250,4194.308,-0.0011214980010376,0.132003228918041,True
p10000\p10000_s29,1,1048577,250,4194.308,0.0020143932920316,0.0802673456223612,True
p10000\p10000_s30,1,1048577,250,4194.308,0.0028346736045411,0.0839519682039906,True
p10000\p10000_s31,1,1048577,250,4194.308,0.0134283921323282,0.5923363020126609,True
p10000\p10000_s32,1,1048577,250,4194.308,0.0027136486404004,0.0892051167744972,True
p10000\p10000_s33,1,1048577,250,4194.308,0.0016566972869045,0.0800948894351231,True
p10000\p10000_s34,1,1048577,250,4194.308,0.0037033639027069,0.0697742902738239,True
p10000\p10000_s35,1,1048577,250,4194.308,0.0033779412213507,0.0518778596763232,True
p10000\p10000_s36,1,1048577,250,4194.308,0.0031278229621265,0.0284220159093088,True
p10000\p10000_s37,1,1048577,250,4194.308,0.002439325388348,0.0799087228183463,True
p10000\p10000_s38,1,1048577,250,4194.308,0.002382847071749,0.0913653133035694,True
p10000\p10000_s39,1,1048577,250,4194.308,0.0027808847315897,0.082169032843748,True
p10000\p10000_s40,1,1048577,250,4194.308,0.0036576433606982,0.0733193047287457,True
p10000\p10000_s41,1,1048577,250,4194.308,0.0031170651875362,0.0284473629674777,True
p10000\p10000_s42,1,1048577,250,4194.308,0.0033295312356944,0.0240592277423046,True
p10000\p10000_s43,1,1048577,250,4194.308,0.0009278580584124,0.0868559552639134,True
p10000\p10000_s44,1,1048577,250,4194.308,0.0030767235328226,0.0746392697439815,True
p10000\p10000_s45,1,1048577,250,4194.308,0.0105049668874172,0.3257177547388267,True
p10000\p10000_s46,1,1048577,250,4194.308,0.0018476477858821,0.6109544264410265,True
p10000\p10000_s47,1,1048577,250,4194.308,-0.0013232062746055,0.400837896282975,True
p10000\p10000_s48,1,1048577,250,4194.308,0.0019874988555558,0.0855918928447511,True
p10000\p10000_s49,1,1048577,250,4194.308,0.0023909154026917,0.0706691776095519,True
p10001\p10001_s00,1,1048577,250,4194.308,0.0016002189703054,0.053204848087679,True
p10001\p10001_s01,1,1048577,250,4194.308,0.0002662549211096,0.0696069997793087,True
p10001\p10001_s02,1,1048577,250,4194.308,0.0010972930082094,0.0961201868030743,True
